variant,start,end,annual,sharpe,dd,nd_annual,beat
基线 trail,2016-08-11,2019-09-17,7.53,0.44,19.4,16.14,False
基线 trail,2016-11-17,2019-12-20,6.77,0.39,19.4,18.75,False
基线 trail,2017-02-22,2020-03-27,6.35,0.33,19.4,8.59,False
基线 trail,2017-05-25,2020-07-02,11.48,0.66,19.4,18.07,False
基线 trail,2017-08-24,2020-09-29,13.24,0.72,19.4,20.94,False
基线 trail,2017-11-28,2021-01-05,16.88,0.89,19.4,22.89,False
基线 trail,2018-03-05,2021-04-12,16.91,0.89,19.4,23.66,False
基线 trail,2018-06-06,2021-07-14,15.28,0.81,19.14,23.99,False
基线 trail,2018-09-04,2021-10-20,22.07,1.15,12.62,23.21,False
基线 trail,2018-12-10,2022-01-18,23.15,1.21,17.0,27.41,False
基线 trail,2019-03-18,2022-04-26,19.94,1.03,22.72,17.45,True
基线 trail,2019-06-20,2022-07-28,12.48,0.64,29.3,14.76,False
基线 trail,2019-09-18,2022-11-02,7.87,0.4,30.24,8.79,False
基线 trail,2019-12-23,2023-02-07,10.69,0.56,30.29,10.65,True
基线 trail,2020-03-30,2023-05-11,12.84,0.72,30.29,16.64,False
基线 trail,2020-07-03,2023-08-10,5.86,0.29,30.29,10.42,False
基线 trail,2020-09-30,2023-11-15,4.71,0.22,30.29,8.1,False
基线 trail,2021-01-06,2024-02-21,0.33,-0.11,30.29,6.95,False
基线 trail,2021-04-13,2024-05-27,6.38,0.35,30.29,6.54,False
基线 trail,2021-07-15,2024-08-23,5.45,0.28,30.29,7.13,False
基线 trail,2021-10-21,2024-11-29,6.35,0.36,22.76,8.11,False
基线 trail,2022-01-19,2025-03-07,12.81,0.85,16.37,8.27,True
基线 trail,2022-04-27,2025-06-11,18.15,1.26,13.14,16.26,True
基线 trail,2022-07-29,2025-09-08,23.21,1.68,7.49,20.75,True
基线 trail,2022-11-03,2025-12-12,27.12,1.96,7.49,30.94,False
基线 trail,2023-02-08,2026-03-23,24.46,1.44,14.24,22.63,True
基线 trail,2023-05-12,2026-06-25,35.62,1.73,14.24,27.37,True
叠加 20d8%,2016-08-11,2019-09-17,19.53,1.27,9.28,16.14,True
叠加 20d8%,2016-11-17,2019-12-20,18.68,1.21,9.31,18.75,False
叠加 20d8%,2017-02-22,2020-03-27,17.94,1.07,12.62,8.59,True
叠加 20d8%,2017-05-25,2020-07-02,24.53,1.41,12.62,18.07,True
叠加 20d8%,2017-08-24,2020-09-29,26.07,1.37,12.62,20.94,True
叠加 20d8%,2017-11-28,2021-01-05,25.67,1.27,16.58,22.89,True
叠加 20d8%,2018-03-05,2021-04-12,20.37,0.98,22.86,23.66,False
叠加 20d8%,2018-06-06,2021-07-14,15.3,0.76,22.86,23.99,False
叠加 20d8%,2018-09-04,2021-10-20,16.6,0.8,22.86,23.21,False
叠加 20d8%,2018-12-10,2022-01-18,19.38,0.94,22.86,27.41,False
叠加 20d8%,2019-03-18,2022-04-26,15.88,0.76,22.86,17.45,False
叠加 20d8%,2019-06-20,2022-07-28,8.45,0.4,24.52,14.76,False
叠加 20d8%,2019-09-18,2022-11-02,3.83,0.16,26.0,8.79,False
叠加 20d8%,2019-12-23,2023-02-07,6.54,0.31,26.06,10.65,False
叠加 20d8%,2020-03-30,2023-05-11,8.84,0.44,26.06,16.64,False
叠加 20d8%,2020-07-03,2023-08-10,1.41,0.01,26.06,10.42,False
叠加 20d8%,2020-09-30,2023-11-15,0.96,-0.03,26.06,8.1,False
叠加 20d8%,2021-01-06,2024-02-21,-0.22,-0.13,26.06,6.95,False
叠加 20d8%,2021-04-13,2024-05-27,8.84,0.53,26.06,6.54,True
叠加 20d8%,2021-07-15,2024-08-23,7.85,0.46,26.06,7.13,True
叠加 20d8%,2021-10-21,2024-11-29,8.5,0.53,21.63,8.11,True
叠加 20d8%,2022-01-19,2025-03-07,11.97,0.78,18.23,8.27,True
叠加 20d8%,2022-04-27,2025-06-11,17.52,1.21,14.1,16.26,True
叠加 20d8%,2022-07-29,2025-09-08,22.67,1.64,7.49,20.75,True
叠加 20d8%,2022-11-03,2025-12-12,26.25,1.94,7.49,30.94,False
叠加 20d8%,2023-02-08,2026-03-23,23.72,1.42,13.15,22.63,True
叠加 20d8%,2023-05-12,2026-06-25,36.82,1.77,13.15,27.37,True
