window,drop,tp_half,tp_frac,ann,sharpe,dd,total,trades
2016-08-11,0d0%,0.6,0.5,14.27,0.77,29.15,260.72,49
2016-08-11,0d0%,0.6,1.0,13.08,0.74,29.37,226.26,49
2016-08-11,0d0%,0.8,0.5,15.46,0.81,29.65,298.48,49
2016-08-11,0d0%,0.8,1.0,15.45,0.83,30.29,298.21,49
2016-08-11,0d0%,1.0,0.5,15.47,0.79,30.36,298.81,48
2016-08-11,0d0%,1.0,1.0,15.6,0.8,31.26,303.33,48
2016-08-11,10d8%,0.6,0.5,18.57,0.91,26.42,414.67,70
2016-08-11,10d8%,0.6,1.0,17.7,0.89,26.75,379.69,70
2016-08-11,10d8%,0.8,0.5,18.14,0.88,26.07,397.17,68
2016-08-11,10d8%,0.8,1.0,17.08,0.84,26.07,355.79,68
2016-08-11,10d8%,1.0,0.5,18.66,0.9,26.07,418.52,68
2016-08-11,10d8%,1.0,1.0,18.18,0.88,26.07,398.48,68
2016-08-11,20d8%,0.6,0.5,18.98,0.98,26.52,432.03,65
2016-08-11,20d8%,0.6,1.0,17.64,0.95,26.93,377.29,65
2016-08-11,20d8%,0.8,0.5,19.26,0.98,26.06,444.2,64
2016-08-11,20d8%,0.8,1.0,18.38,0.96,26.06,406.78,64
2016-08-11,20d8%,1.0,0.5,18.95,0.95,27.88,430.91,63
2016-08-11,20d8%,1.0,1.0,18.0,0.92,27.33,391.3,63
2016-08-11,20d10%,0.6,0.5,16.59,0.88,24.76,337.73,57
2016-08-11,20d10%,0.6,1.0,15.43,0.85,25.23,297.65,57
2016-08-11,20d10%,0.8,0.5,16.86,0.88,24.25,347.57,56
2016-08-11,20d10%,0.8,1.0,16.12,0.86,24.25,321.03,56
2016-08-11,20d10%,1.0,0.5,16.51,0.85,28.93,334.91,55
2016-08-11,20d10%,1.0,1.0,15.65,0.82,28.3,304.95,55
2016-08-11,10d10%,0.6,0.5,16.28,0.88,23.07,326.67,61
2016-08-11,10d10%,0.6,1.0,15.05,0.84,23.53,285.13,61
2016-08-11,10d10%,0.8,0.5,16.58,0.88,22.57,337.51,60
2016-08-11,10d10%,0.8,1.0,15.8,0.86,22.57,309.89,60
2016-08-11,10d10%,1.0,0.5,16.31,0.85,22.57,327.7,59
2016-08-11,10d10%,1.0,1.0,15.46,0.82,22.57,298.47,59
2020-01-01,0d0%,0.6,0.5,14.32,0.72,24.32,133.64,40
2020-01-01,0d0%,0.6,1.0,12.69,0.66,24.32,113.35,40
2020-01-01,0d0%,0.8,0.5,15.27,0.75,24.32,146.21,40
2020-01-01,0d0%,0.8,1.0,14.58,0.74,24.32,137.07,40
2020-01-01,0d0%,1.0,0.5,14.69,0.72,25.78,138.51,39
2020-01-01,0d0%,1.0,1.0,13.74,0.68,24.89,126.26,39
2020-01-01,10d8%,0.6,0.5,23.08,1.05,24.93,273.23,60
2020-01-01,10d8%,0.6,1.0,21.81,1.02,25.29,249.47,60
2020-01-01,10d8%,0.8,0.5,22.46,1.0,24.54,261.34,58
2020-01-01,10d8%,0.8,1.0,20.9,0.96,24.54,233.24,58
2020-01-01,10d8%,1.0,0.5,23.22,1.03,24.54,275.84,58
2020-01-01,10d8%,1.0,1.0,22.5,1.02,24.54,262.23,58
2020-01-01,20d8%,0.6,0.5,18.69,0.94,21.77,196.47,55
2020-01-01,20d8%,0.6,1.0,17.06,0.89,22.33,171.56,55
2020-01-01,20d8%,0.8,0.5,19.04,0.94,21.63,202.0,54
2020-01-01,20d8%,0.8,1.0,17.96,0.91,21.63,184.98,54
2020-01-01,20d8%,1.0,0.5,18.66,0.91,24.41,195.96,53
2020-01-01,20d8%,1.0,1.0,17.49,0.87,23.74,177.93,53
2020-01-01,20d10%,0.6,0.5,20.15,1.0,22.99,220.24,49
2020-01-01,20d10%,0.6,1.0,18.48,0.96,23.5,193.12,49
2020-01-01,20d10%,0.8,0.5,20.54,1.0,22.63,226.9,48
2020-01-01,20d10%,0.8,1.0,19.47,0.98,22.42,208.94,48
2020-01-01,20d10%,1.0,0.5,20.03,0.96,27.51,218.33,47
2020-01-01,20d10%,1.0,1.0,18.79,0.92,26.81,198.06,47
2020-01-01,10d10%,0.6,0.5,20.12,1.03,21.49,219.73,51
2020-01-01,10d10%,0.6,1.0,18.32,0.98,21.99,190.62,51
2020-01-01,10d10%,0.8,0.5,20.56,1.03,20.95,227.33,50
2020-01-01,10d10%,0.8,1.0,19.41,1.0,20.95,207.98,50
2020-01-01,10d10%,1.0,0.5,20.16,0.99,20.95,220.46,49
2020-01-01,10d10%,1.0,1.0,18.91,0.96,20.95,199.97,49
