window,trail,drop_n,drop_x,ann,sharpe,dd,total,trades,nd
2016-08-11,0.2,0,0.0,15.45,0.83,30.29,298.21,49,0
2016-08-11,,5,0.05,15.94,0.79,24.35,314.93,130,48
2016-08-11,0.2,5,0.05,17.33,0.84,24.48,365.03,121,46
2016-08-11,,5,0.08,15.2,0.81,23.22,289.91,67,16
2016-08-11,0.2,5,0.08,15.18,0.82,23.2,289.25,65,16
2016-08-11,,5,0.1,12.51,0.65,39.59,210.81,70,11
2016-08-11,0.2,5,0.1,14.47,0.77,30.11,266.99,58,9
2016-08-11,,10,0.05,12.01,0.61,31.42,197.79,172,71
2016-08-11,0.2,10,0.05,11.95,0.61,31.59,196.29,166,68
2016-08-11,,10,0.08,16.74,0.82,25.89,343.18,72,22
2016-08-11,0.2,10,0.08,17.08,0.84,26.07,355.79,68,20
2016-08-11,,10,0.1,15.72,0.85,22.59,307.38,64,14
2016-08-11,0.2,10,0.1,15.8,0.86,22.57,309.89,60,13
2016-08-11,,10,0.15,14.61,0.78,35.58,271.38,57,5
2016-08-11,0.2,10,0.15,16.15,0.87,30.39,321.94,49,4
2016-08-11,,20,0.08,17.75,0.92,25.87,381.48,70,23
2016-08-11,0.2,20,0.08,18.38,0.96,26.06,406.78,64,18
2016-08-11,,20,0.1,15.55,0.83,24.04,301.59,62,14
2016-08-11,0.2,20,0.1,16.12,0.86,24.25,321.03,56,9
2016-08-11,,20,0.15,14.74,0.8,35.7,275.43,59,9
2016-08-11,0.2,20,0.15,16.81,0.92,30.75,345.92,49,3
2016-08-11,,30,0.1,17.54,0.95,31.5,373.29,53,10
2016-08-11,0.2,30,0.1,17.77,0.96,31.73,382.4,51,6
2016-08-11,,30,0.15,16.48,0.9,30.85,333.8,51,6
2016-08-11,0.2,30,0.15,16.23,0.88,30.29,324.89,49,1
2020-01-01,0.2,0,0.0,14.58,0.74,24.32,137.07,40,0
2020-01-01,,5,0.05,19.13,0.89,22.42,203.51,112,42
2020-01-01,0.2,5,0.05,21.13,0.96,22.57,237.18,103,40
2020-01-01,,5,0.08,21.52,1.06,23.62,244.12,59,16
2020-01-01,0.2,5,0.08,21.13,1.05,23.39,237.3,57,16
2020-01-01,,5,0.1,14.34,0.71,37.12,133.96,62,13
2020-01-01,0.2,5,0.1,18.49,0.92,29.19,193.22,50,10
2020-01-01,,10,0.05,11.85,0.58,26.97,103.39,148,59
2020-01-01,0.2,10,0.05,10.99,0.54,27.82,93.7,146,58
2020-01-01,,10,0.08,20.37,0.93,24.32,224.05,62,19
2020-01-01,0.2,10,0.08,20.9,0.96,24.54,233.24,58,17
2020-01-01,,10,0.1,21.86,1.08,22.69,250.36,52,12
2020-01-01,0.2,10,0.1,19.41,1.0,20.95,207.98,50,11
2020-01-01,,10,0.15,15.78,0.79,31.37,153.3,46,6
2020-01-01,0.2,10,0.15,21.26,1.06,29.61,239.49,41,5
2020-01-01,,20,0.08,17.5,0.88,21.63,177.99,58,17
2020-01-01,0.2,20,0.08,17.96,0.91,21.63,184.98,54,12
2020-01-01,,20,0.1,18.98,0.95,22.42,200.96,52,14
2020-01-01,0.2,20,0.1,19.47,0.98,22.42,208.94,48,9
2020-01-01,,20,0.15,13.94,0.71,29.21,128.83,48,9
2020-01-01,0.2,20,0.15,16.2,0.83,24.79,159.05,40,3
2020-01-01,,30,0.1,16.09,0.82,24.75,157.55,42,7
2020-01-01,0.2,30,0.1,15.82,0.81,24.53,153.81,42,4
2020-01-01,,30,0.15,15.86,0.81,25.24,154.32,40,6
2020-01-01,0.2,30,0.15,15.5,0.79,24.32,149.36,40,1
