start,end,annual,sharpe,dd,nd_annual,beat
2015-01-05,2018-02-02,18.66,1.34,12.32,16.0,True
2015-04-10,2018-05-15,11.1,0.95,10.41,13.76,False
2015-07-10,2018-08-13,10.39,0.81,10.41,16.12,False
2015-10-16,2018-11-16,10.25,0.62,20.8,14.06,False
2016-01-14,2019-02-22,9.99,0.59,24.2,17.74,False
2016-04-20,2019-05-28,9.92,0.57,24.2,15.44,False
2016-07-21,2019-08-26,17.89,1.01,24.2,15.7,True
2016-10-27,2019-11-29,13.54,0.75,24.2,18.46,False
2017-01-25,2020-03-06,18.63,1.01,24.2,14.9,True
2017-05-04,2020-06-09,21.21,1.06,24.2,17.91,True
2017-08-03,2020-09-08,28.05,1.18,24.2,19.63,True
2017-11-07,2020-12-14,41.25,1.48,24.2,22.53,True
2018-02-05,2021-03-19,41.34,1.42,24.2,23.53,True
2018-05-16,2021-06-23,41.69,1.43,24.2,24.52,True
2018-08-14,2021-09-22,36.86,1.18,25.82,23.73,True
2018-11-19,2021-12-27,30.71,1.03,30.06,31.24,False
2019-02-25,2022-04-01,51.46,1.42,30.06,23.63,True
2019-05-29,2022-07-07,48.83,1.36,30.06,15.5,True
2019-08-27,2022-10-12,35.99,1.06,30.06,10.01,True
2019-12-02,2023-01-10,41.74,1.18,30.06,7.84,True
2020-03-09,2023-04-17,34.7,1.02,30.06,15.23,True
2020-06-10,2023-07-20,23.49,0.71,30.07,11.98,True
2020-09-09,2023-10-25,13.33,0.47,34.93,4.8,True
2020-12-15,2024-01-23,5.72,0.25,36.19,7.0,False
2021-03-22,2024-05-06,5.04,0.23,36.19,6.92,False
2021-06-24,2024-08-02,6.13,0.26,36.19,5.3,True
2021-09-23,2024-11-08,12.09,0.46,36.19,8.63,True
2021-12-28,2025-02-14,18.71,0.68,36.19,8.28,True
2022-04-06,2025-05-20,-2.78,-0.1,28.65,11.3,False
2022-07-08,2025-08-18,1.82,0.09,28.65,22.99,False
2022-10-13,2025-11-21,9.82,0.4,28.65,27.93,False
2023-01-11,2026-03-02,14.42,0.55,28.65,27.71,False
2023-04-18,2026-06-03,29.22,0.96,28.65,30.29,False
