window,start,end,annual,sharpe,dd,nd_annual,alpha
252,2016-08-11,2017-08-23,12.62,1.11,9.28,20.17,-7.5500000000000025
252,2016-11-17,2017-11-27,19.22,2.02,5.03,29.09,-9.870000000000001
252,2017-02-22,2018-03-02,11.28,0.94,9.06,23.95,-12.67
252,2017-05-25,2018-06-05,9.14,0.62,9.32,23.19,-14.05
252,2017-08-24,2018-09-03,14.31,0.94,9.32,29.44,-15.13
252,2017-11-28,2018-12-07,4.6,0.2,20.4,0.83,3.7699999999999996
252,2018-03-05,2019-03-15,7.29,0.35,21.27,4.9,2.3899999999999997
252,2018-06-06,2019-06-19,10.12,0.51,21.27,3.89,6.229999999999999
252,2018-09-04,2019-09-17,16.22,0.78,21.27,1.18,15.04
252,2018-12-10,2019-12-20,19.71,1.24,9.31,27.25,-7.539999999999999
252,2019-03-18,2020-03-27,26.9,1.31,12.62,-2.76,29.659999999999997
252,2019-06-20,2020-07-02,47.33,1.95,12.62,26.9,20.43
252,2019-09-18,2020-09-29,47.24,1.55,14.42,35.72,11.520000000000003
252,2019-12-23,2021-01-05,145.55,2.96,14.42,43.5,102.05000000000001
252,2020-03-30,2021-04-12,108.02,2.46,14.75,78.56,29.459999999999994
252,2020-07-03,2021-07-14,62.98,1.64,14.75,43.68,19.299999999999997
252,2020-09-30,2021-10-20,30.03,0.9,24.83,35.57,-5.539999999999999
252,2021-01-06,2022-01-18,-17.06,-0.62,28.27,13.92,-30.979999999999997
252,2021-04-13,2022-04-26,25.54,0.75,27.65,-10.8,36.34
252,2021-07-15,2022-07-28,15.66,0.52,24.06,-16.43,32.09
252,2021-10-21,2022-11-02,25.83,0.84,24.57,-30.93,56.76
252,2022-01-19,2023-02-07,24.74,0.81,25.05,-15.58,40.32
252,2022-04-27,2023-05-11,-8.3,-0.34,15.62,-1.29,-7.010000000000001
252,2022-07-29,2023-08-10,-14.42,-0.47,21.31,10.92,-25.34
252,2022-11-03,2023-11-15,-9.97,-0.3,26.48,36.53,-46.5
252,2023-02-08,2024-02-21,-2.88,-0.06,26.48,30.96,-33.84
252,2023-05-12,2024-05-27,10.36,0.44,26.48,37.91,-27.549999999999997
252,2023-08-11,2024-08-23,25.51,1.25,14.47,31.16,-5.649999999999999
252,2023-11-16,2024-11-29,36.87,1.81,14.47,36.33,0.5399999999999991
252,2024-02-22,2025-03-07,18.51,0.95,14.47,13.49,5.020000000000001
252,2024-05-28,2025-06-11,-1.78,-0.12,22.71,15.32,-17.1
252,2024-08-26,2025-09-08,12.75,0.57,22.71,23.08,-10.329999999999998
252,2024-12-02,2025-12-12,16.73,0.66,22.71,19.62,-2.8900000000000006
252,2025-03-10,2026-03-23,24.58,0.83,14.86,25.75,-1.1700000000000017
252,2025-06-12,2026-06-25,114.02,2.46,13.82,29.1,84.91999999999999
504,2016-08-11,2018-09-03,13.41,1.0,9.32,24.6,-11.190000000000001
504,2016-11-17,2018-12-07,11.47,0.67,20.4,14.34,-2.869999999999999
504,2017-02-22,2019-03-15,8.78,0.5,21.27,14.57,-5.790000000000001
504,2017-05-25,2019-06-19,9.67,0.55,21.27,13.48,-3.8100000000000005
504,2017-08-24,2019-09-17,15.32,0.83,21.27,14.28,1.040000000000001
504,2017-11-28,2019-12-20,11.06,0.58,21.27,13.66,-2.5999999999999996
504,2018-03-05,2020-03-27,16.57,0.82,21.27,1.17,15.4
504,2018-06-06,2020-07-02,28.69,1.34,21.27,15.25,13.440000000000001
504,2018-09-04,2020-09-29,30.99,1.22,21.27,17.08,13.91
504,2018-12-10,2021-01-05,71.55,2.26,14.42,35.21,36.339999999999996
504,2019-03-18,2021-04-12,60.98,1.93,14.75,34.07,26.909999999999997
504,2019-06-20,2021-07-14,55.56,1.73,14.75,34.95,20.61
504,2019-09-18,2021-10-20,38.64,1.19,24.83,36.07,2.5700000000000003
504,2019-12-23,2022-01-18,42.64,1.26,28.53,27.41,15.23
504,2020-03-30,2022-04-26,61.91,1.55,28.53,26.82,35.089999999999996
504,2020-07-03,2022-07-28,39.82,1.11,28.53,9.18,30.64
504,2020-09-30,2022-11-02,28.29,0.88,28.53,-2.93,31.22
504,2021-01-06,2023-02-07,2.03,0.13,28.27,-2.5,4.529999999999999
504,2021-04-13,2023-05-11,7.31,0.3,27.65,-6.16,13.469999999999999
504,2021-07-15,2023-08-10,-0.83,0.06,28.86,-2.81,1.98
504,2021-10-21,2023-11-15,6.9,0.29,33.53,-3.73,10.63
504,2022-01-19,2024-02-21,9.69,0.38,33.53,4.24,5.449999999999999
504,2022-04-27,2024-05-27,-1.68,-0.06,26.48,16.43,-18.11
504,2022-07-29,2024-08-23,2.7,0.13,26.48,20.16,-17.46
504,2022-11-03,2024-11-29,10.75,0.44,26.48,36.4,-25.65
504,2023-02-08,2025-03-07,8.0,0.34,26.48,23.65,-15.649999999999999
504,2023-05-12,2025-06-11,4.28,0.19,26.48,26.42,-22.14
504,2023-08-11,2025-09-08,19.33,0.89,22.71,26.45,-7.120000000000001
504,2023-11-16,2025-12-12,26.62,1.12,22.71,28.26,-1.6400000000000006
504,2024-02-22,2026-03-23,20.37,0.81,22.71,17.0,3.370000000000001
504,2024-05-28,2026-06-25,44.68,1.42,22.71,22.11,22.57
756,2016-08-11,2019-09-17,14.38,0.87,21.27,16.14,-1.7599999999999998
756,2016-11-17,2019-12-20,13.57,0.82,21.27,18.75,-5.18
756,2017-02-22,2020-03-27,14.43,0.8,21.27,8.59,5.84
756,2017-05-25,2020-07-02,21.83,1.15,21.27,18.07,3.759999999999998
756,2017-08-24,2020-09-29,25.21,1.13,21.27,20.94,4.27
756,2017-11-28,2021-01-05,44.72,1.66,21.27,22.89,21.83
756,2018-03-05,2021-04-12,40.51,1.5,21.27,23.66,16.849999999999998
756,2018-06-06,2021-07-14,39.6,1.44,21.27,23.99,15.610000000000003
756,2018-09-04,2021-10-20,30.86,1.07,24.83,23.21,7.649999999999999
756,2018-12-10,2022-01-18,34.65,1.2,28.53,27.41,7.239999999999998
756,2019-03-18,2022-04-26,48.4,1.42,28.53,17.45,30.95
756,2019-06-20,2022-07-28,42.66,1.28,28.53,14.76,27.9
756,2019-09-18,2022-11-02,34.49,1.08,28.53,8.79,25.700000000000003
756,2019-12-23,2023-02-07,36.64,1.12,28.53,10.65,25.990000000000002
756,2020-03-30,2023-05-11,33.96,1.03,28.53,16.64,17.32
756,2020-07-03,2023-08-10,18.46,0.61,28.86,10.42,8.040000000000001
756,2020-09-30,2023-11-15,14.35,0.51,33.53,8.1,6.25
756,2021-01-06,2024-02-21,0.15,0.06,33.53,6.95,-6.8
756,2021-04-13,2024-05-27,6.66,0.28,33.53,6.54,0.1200000000000001
756,2021-07-15,2024-08-23,6.61,0.28,33.53,7.13,-0.5199999999999996
756,2021-10-21,2024-11-29,15.88,0.6,33.53,8.11,7.770000000000001
756,2022-01-19,2025-03-07,13.04,0.51,33.53,8.27,4.77
756,2022-04-27,2025-06-11,-1.6,-0.07,26.48,16.26,-17.860000000000003
756,2022-07-29,2025-09-08,6.18,0.27,26.48,20.75,-14.57
756,2022-11-03,2025-12-12,12.86,0.52,26.48,30.94,-18.080000000000002
756,2023-02-08,2026-03-23,12.56,0.5,26.48,22.63,-10.069999999999999
756,2023-05-12,2026-06-25,32.3,1.13,26.48,27.37,4.929999999999996
1008,2016-08-11,2020-09-29,21.91,1.08,21.27,20.69,1.2199999999999989
1008,2016-11-17,2021-01-05,37.73,1.6,21.27,24.54,13.189999999999998
1008,2017-02-22,2021-04-12,32.25,1.36,21.27,24.01,8.239999999999998
1008,2017-05-25,2021-07-14,31.28,1.29,21.27,23.97,7.310000000000002
1008,2017-08-24,2021-10-20,26.54,1.02,24.83,24.64,1.8999999999999986
1008,2017-11-28,2022-01-18,25.94,0.98,28.53,20.38,5.560000000000002
1008,2018-03-05,2022-04-26,36.77,1.22,28.53,14.27,22.500000000000004
1008,2018-06-06,2022-07-28,34.42,1.15,28.53,12.16,22.26
1008,2018-09-04,2022-11-02,29.77,1.01,28.53,6.8,22.97
1008,2018-12-10,2023-02-07,32.28,1.09,28.53,14.63,17.65
1008,2019-03-18,2023-05-11,31.58,1.04,28.53,12.45,19.13
1008,2019-06-20,2023-08-10,25.35,0.83,28.86,14.31,11.040000000000001
1008,2019-09-18,2023-11-15,21.93,0.74,33.53,14.61,7.32
1008,2019-12-23,2024-02-21,25.25,0.83,33.53,14.9,10.35
1008,2020-03-30,2024-05-27,26.16,0.87,33.53,21.49,4.670000000000002
1008,2020-07-03,2024-08-23,19.62,0.68,33.53,15.06,4.5600000000000005
1008,2020-09-30,2024-11-29,19.44,0.69,33.53,14.55,4.890000000000001
1008,2021-01-06,2025-03-07,4.79,0.21,33.53,9.33,-4.54
1008,2021-04-13,2025-06-11,4.57,0.21,33.53,8.81,-4.24
1008,2021-07-15,2025-09-08,8.29,0.34,33.53,10.66,-2.370000000000001
1008,2021-10-21,2025-12-12,16.2,0.62,33.53,11.13,5.0699999999999985
1008,2022-01-19,2026-03-23,15.27,0.58,33.53,11.24,4.029999999999999
1008,2022-04-27,2026-06-25,19.35,0.73,26.48,19.39,-0.03999999999999915
1260,2016-08-11,2021-10-20,23.6,0.99,24.83,23.69,-0.08999999999999986
1260,2016-11-17,2022-01-18,24.47,1.01,28.53,22.17,2.299999999999997
1260,2017-02-22,2022-04-26,31.0,1.14,28.53,16.35,14.649999999999999
1260,2017-05-25,2022-07-28,28.95,1.07,28.53,14.42,14.53
1260,2017-08-24,2022-11-02,26.54,0.98,28.53,10.92,15.62
1260,2017-11-28,2023-02-07,25.83,0.94,28.53,11.88,13.949999999999998
1260,2018-03-05,2023-05-11,26.27,0.93,28.53,10.97,15.299999999999999
1260,2018-06-06,2023-08-10,22.66,0.8,28.86,12.32,10.34
1260,2018-09-04,2023-11-15,20.84,0.74,33.53,11.76,9.08
1260,2018-12-10,2024-02-21,24.19,0.85,33.53,17.3,6.890000000000001
1260,2019-03-18,2024-05-27,25.87,0.9,33.53,17.02,8.850000000000001
1260,2019-06-20,2024-08-23,24.91,0.86,33.53,17.31,7.600000000000001
1260,2019-09-18,2024-11-29,24.65,0.86,33.53,18.65,6.0
1260,2019-12-23,2025-03-07,24.19,0.84,33.53,15.27,8.920000000000002
1260,2020-03-30,2025-06-11,20.07,0.72,33.53,20.35,-0.28000000000000114
1260,2020-07-03,2025-09-08,18.37,0.66,33.53,16.4,1.9700000000000024
1260,2020-09-30,2025-12-12,18.99,0.69,33.53,15.75,3.2399999999999984
1260,2021-01-06,2026-03-23,8.07,0.33,33.53,11.5,-3.4299999999999997
1260,2021-04-13,2026-06-25,20.55,0.73,33.53,12.63,7.92
