look,rebal,top_k,年化%,夏普,回撤%,总收益%,交易次数
20,5,1,21.5,0.65,46.5,782.4,932
5,20,1,20.9,0.63,59.7,730.0,267
60,10,1,17.9,0.62,37.3,529.9,501
5,10,1,17.9,0.58,48.4,529.7,511
10,20,2,13.4,0.58,33.6,308.5,267
10,20,1,16.9,0.56,49.7,472.5,267
10,20,3,11.4,0.55,30.6,233.2,267
60,20,1,16.1,0.54,54.5,430.7,263
60,20,2,11.9,0.52,29.9,249.9,263
5,20,2,12.4,0.51,38.3,268.0,267
5,20,3,10.7,0.5,34.0,212.3,267
60,10,2,10.7,0.5,24.9,210.4,501
60,20,3,10.3,0.5,26.7,197.9,263
20,5,2,11.4,0.48,32.0,233.3,932
20,5,3,9.9,0.47,23.6,187.0,932
60,10,3,8.7,0.45,21.5,155.0,501
60,5,1,11.1,0.42,42.6,225.5,919
5,10,2,9.4,0.42,34.1,173.0,511
5,10,3,7.3,0.35,29.3,119.3,511
60,5,2,7.2,0.33,27.9,118.1,919
60,5,3,5.2,0.24,27.4,76.8,919
20,20,2,5.3,0.23,46.8,77.5,267
20,20,1,4.3,0.22,64.8,60.8,267
20,20,3,4.8,0.21,45.3,68.2,267
20,10,3,4.9,0.21,31.1,70.0,509
20,10,1,3.1,0.19,47.5,40.8,509
20,10,2,3.1,0.13,37.6,40.0,509
5,5,1,-3.0,0.02,73.9,-28.7,937
10,5,1,-3.1,0.01,74.5,-29.7,935
5,5,2,0.1,0.0,49.8,1.4,937
5,5,3,0.2,-0.03,42.3,2.4,937
10,10,3,0.4,-0.03,36.1,4.6,511
10,10,2,-1.2,-0.06,50.0,-12.2,511
10,10,1,-7.2,-0.13,75.8,-56.7,511
10,5,3,-2.3,-0.18,46.9,-22.9,935
10,5,2,-4.1,-0.2,57.8,-37.2,935
