w,mg,lb,ann,sharpe,dd
2015-01-01,0.5,120,12.46,0.56,34.37
2015-01-01,0.5,150,14.27,0.63,35.67
2015-01-01,0.5,160,13.49,0.62,36.46
2015-01-01,0.5,180,11.35,0.53,47.76
2015-01-01,0.5,200,13.23,0.57,42.51
2015-01-01,0.5,240,9.91,0.46,33.78
2015-01-01,0.75,120,15.41,0.66,31.53
2015-01-01,0.75,150,22.5,0.91,28.34
2015-01-01,0.75,160,24.36,0.94,32.56
2015-01-01,0.75,180,23.88,0.95,42.94
2015-01-01,0.75,200,21.11,0.83,38.17
2015-01-01,0.75,240,16.85,0.78,28.96
2015-01-01,1.0,120,24.07,1.01,24.55
2015-01-01,1.0,150,23.77,0.95,28.34
2015-01-01,1.0,160,25.69,0.98,32.93
2015-01-01,1.0,180,31.86,1.2,26.95
2015-01-01,1.0,200,23.12,0.94,27.99
2015-01-01,1.0,240,18.53,0.86,28.92
2015-01-01,1.25,120,17.19,0.74,34.37
2015-01-01,1.25,150,23.15,0.94,28.34
2015-01-01,1.25,160,24.67,0.96,32.65
2015-01-01,1.25,180,31.43,1.2,26.92
2015-01-01,1.25,200,27.58,1.1,27.99
2015-01-01,1.25,240,18.11,0.85,28.59
2015-01-01,1.5,120,17.13,0.74,34.36
2015-01-01,1.5,150,23.15,0.94,28.34
2015-01-01,1.5,160,24.67,0.96,32.65
2015-01-01,1.5,180,28.78,1.13,26.88
2015-01-01,1.5,200,24.59,1.02,27.99
2015-01-01,1.5,240,18.11,0.85,28.59
2015-01-01,2.0,120,16.64,0.73,34.27
2015-01-01,2.0,150,20.78,0.86,30.1
2015-01-01,2.0,160,21.73,0.87,31.68
2015-01-01,2.0,180,28.78,1.13,26.88
2015-01-01,2.0,200,24.02,1.01,27.99
2015-01-01,2.0,240,17.52,0.81,31.72
2020-01-01,0.5,120,18.58,0.72,26.55
2020-01-01,0.5,150,18.26,0.75,27.76
2020-01-01,0.5,160,15.88,0.7,37.9
2020-01-01,0.5,180,12.2,0.54,44.14
2020-01-01,0.5,200,12.57,0.55,36.51
2020-01-01,0.5,240,8.53,0.39,30.92
2020-01-01,0.75,120,14.51,0.61,30.12
2020-01-01,0.75,150,23.88,0.97,26.39
2020-01-01,0.75,160,26.96,1.01,29.91
2020-01-01,0.75,180,23.83,0.96,36.08
2020-01-01,0.75,200,20.93,0.83,32.11
2020-01-01,0.75,240,14.78,0.71,25.77
2020-01-01,1.0,120,27.46,1.09,22.23
2020-01-01,1.0,150,23.88,0.97,26.39
2020-01-01,1.0,160,26.96,1.01,29.91
2020-01-01,1.0,180,29.73,1.16,22.23
2020-01-01,1.0,200,26.35,1.02,22.68
2020-01-01,1.0,240,17.0,0.81,25.77
2020-01-01,1.25,120,17.14,0.71,33.39
2020-01-01,1.25,150,23.88,0.97,26.39
2020-01-01,1.25,160,26.96,1.01,29.91
2020-01-01,1.25,180,29.26,1.16,22.23
2020-01-01,1.25,200,29.91,1.19,22.18
2020-01-01,1.25,240,17.0,0.81,25.77
2020-01-01,1.5,120,17.14,0.71,33.39
2020-01-01,1.5,150,23.88,0.97,26.39
2020-01-01,1.5,160,26.96,1.01,29.91
2020-01-01,1.5,180,29.26,1.16,22.23
2020-01-01,1.5,200,29.91,1.19,22.18
2020-01-01,1.5,240,17.0,0.81,25.77
2020-01-01,2.0,120,17.14,0.71,33.39
2020-01-01,2.0,150,23.88,0.97,26.39
2020-01-01,2.0,160,26.96,1.01,29.91
2020-01-01,2.0,180,29.26,1.16,22.23
2020-01-01,2.0,200,29.91,1.19,22.18
2020-01-01,2.0,240,17.0,0.81,25.77
