window,tp_half,tp_frac,ann,sharpe,dd,total,trades,nh
2016-08-11,,0.25,15.12,0.75,30.06,287.4,46,0
2016-08-11,,0.5,15.12,0.75,30.06,287.4,46,0
2016-08-11,,0.75,15.12,0.75,30.06,287.4,46,0
2016-08-11,,1.0,15.12,0.75,30.06,287.4,46,0
2016-08-11,0.4,0.25,14.17,0.75,28.81,257.62,50,4
2016-08-11,0.4,0.5,13.15,0.73,28.68,228.22,50,4
2016-08-11,0.4,0.75,12.07,0.7,28.55,199.25,50,4
2016-08-11,0.4,1.0,10.91,0.64,28.4,170.79,50,4
2016-08-11,0.5,0.25,14.36,0.75,28.83,263.65,49,3
2016-08-11,0.5,0.5,13.55,0.74,28.73,239.5,49,3
2016-08-11,0.5,0.75,12.67,0.71,28.62,214.97,49,3
2016-08-11,0.5,1.0,11.71,0.67,28.52,190.09,49,3
2016-08-11,0.6,0.25,14.73,0.76,29.04,275.01,49,3
2016-08-11,0.6,0.5,14.27,0.77,29.15,260.72,49,3
2016-08-11,0.6,0.75,13.72,0.76,29.26,244.49,49,3
2016-08-11,0.6,1.0,13.08,0.74,29.37,226.26,49,3
2016-08-11,0.7,0.25,14.99,0.77,29.13,283.32,49,3
2016-08-11,0.7,0.5,14.79,0.78,29.32,277.03,49,3
2016-08-11,0.7,0.75,14.52,0.78,29.51,268.43,49,3
2016-08-11,0.7,1.0,14.16,0.77,29.7,257.39,49,3
2016-08-11,0.8,0.25,15.33,0.78,29.3,294.23,49,3
2016-08-11,0.8,0.5,15.46,0.81,29.65,298.48,49,3
2016-08-11,0.8,0.75,15.5,0.82,29.98,299.89,49,3
2016-08-11,0.8,1.0,15.45,0.83,30.29,298.21,49,3
2016-08-11,1.0,0.25,15.32,0.77,30.24,293.97,48,2
2016-08-11,1.0,0.5,15.47,0.79,30.36,298.81,48,2
2016-08-11,1.0,0.75,15.56,0.8,30.76,301.94,48,2
2016-08-11,1.0,1.0,15.6,0.8,31.26,303.33,48,2
2016-08-11,1.2,0.25,14.92,0.75,29.88,280.94,47,1
2016-08-11,1.2,0.5,14.71,0.74,29.7,274.48,47,1
2016-08-11,1.2,0.75,14.51,0.73,29.5,268.02,47,1
2016-08-11,1.2,1.0,14.3,0.72,29.3,261.56,47,1
2016-08-11,1.5,0.25,15.12,0.75,30.06,287.4,46,0
2016-08-11,1.5,0.5,15.12,0.75,30.06,287.4,46,0
2016-08-11,1.5,0.75,15.12,0.75,30.06,287.4,46,0
2016-08-11,1.5,1.0,15.12,0.75,30.06,287.4,46,0
2020-01-01,,0.25,15.6,0.74,26.57,150.76,38,0
2020-01-01,,0.5,15.6,0.74,26.57,150.76,38,0
2020-01-01,,0.75,15.6,0.74,26.57,150.76,38,0
2020-01-01,,1.0,15.6,0.74,26.57,150.76,38,0
2020-01-01,0.4,0.25,14.52,0.72,24.32,136.28,40,2
2020-01-01,0.4,0.5,13.38,0.68,24.32,121.73,40,2
2020-01-01,0.4,0.75,12.17,0.64,24.32,107.09,40,2
2020-01-01,0.4,1.0,10.87,0.57,24.32,92.38,40,2
2020-01-01,0.5,0.25,14.75,0.73,24.32,139.33,40,2
2020-01-01,0.5,0.5,13.83,0.7,24.32,127.43,40,2
2020-01-01,0.5,0.75,12.84,0.66,24.32,115.07,40,2
2020-01-01,0.5,1.0,11.75,0.61,24.32,102.25,40,2
2020-01-01,0.6,0.25,15.0,0.73,24.32,142.6,40,2
2020-01-01,0.6,0.5,14.32,0.72,24.32,133.64,40,2
2020-01-01,0.6,0.75,13.55,0.69,24.32,123.89,40,2
2020-01-01,0.6,1.0,12.69,0.66,24.32,113.35,40,2
2020-01-01,0.7,0.25,15.24,0.74,24.32,145.77,40,2
2020-01-01,0.7,0.5,14.79,0.73,24.32,139.86,40,2
2020-01-01,0.7,0.75,14.27,0.72,24.32,133.03,40,2
2020-01-01,0.7,1.0,13.66,0.7,24.32,125.27,40,2
2020-01-01,0.8,0.25,15.48,0.75,24.32,149.06,40,2
2020-01-01,0.8,0.5,15.27,0.75,24.32,146.21,40,2
2020-01-01,0.8,0.75,14.97,0.75,24.32,142.21,40,2
2020-01-01,0.8,1.0,14.58,0.74,24.32,137.07,40,2
2020-01-01,1.0,0.25,15.15,0.73,26.19,144.63,39,1
2020-01-01,1.0,0.5,14.69,0.72,25.78,138.51,39,1
2020-01-01,1.0,0.75,14.22,0.7,25.35,132.38,39,1
2020-01-01,1.0,1.0,13.74,0.68,24.89,126.26,39,1
2020-01-01,1.2,0.25,15.35,0.73,26.36,147.3,39,1
2020-01-01,1.2,0.5,15.09,0.73,26.14,143.84,39,1
2020-01-01,1.2,0.75,14.83,0.72,25.91,140.38,39,1
2020-01-01,1.2,1.0,14.57,0.71,25.67,136.93,39,1
2020-01-01,1.5,0.25,15.6,0.74,26.57,150.76,38,0
2020-01-01,1.5,0.5,15.6,0.74,26.57,150.76,38,0
2020-01-01,1.5,0.75,15.6,0.74,26.57,150.76,38,0
2020-01-01,1.5,1.0,15.6,0.74,26.57,150.76,38,0
