date,action,code,reason
2020-02-07,buy,161128,new
2020-02-14,sell,161128,switch
2020-02-14,buy,162415,new
2020-02-21,sell,162415,switch
2020-02-21,buy,161128,new
2020-02-28,sell,161128,switch
2020-02-28,buy,513100,new
2020-04-10,sell,513100,switch
2020-04-10,buy,162411,new
2020-04-17,sell,162411,switch
2020-04-17,buy,513100,new
2020-04-28,sell,513100,switch
2020-04-28,buy,162415,new
2020-05-11,sell,162415,switch
2020-05-11,buy,162411,new
2020-05-18,sell,162411,switch
2020-05-18,buy,162415,new
2020-05-25,sell,162415,switch
2020-05-25,buy,161128,new
2020-06-01,sell,161128,switch
2020-06-01,buy,162411,new
2020-06-09,sell,162411,switch
2020-06-09,buy,162415,new
2020-06-16,sell,162415,switch
2020-06-16,buy,162411,new
2020-06-29,sell,162411,switch
2020-06-29,buy,161128,new
2020-07-17,sell,161128,switch
2020-07-17,buy,162415,new
2020-07-31,sell,162415,switch
2020-07-31,buy,515450,new
2020-08-07,sell,515450,switch
2020-08-07,buy,162415,new
2020-08-14,sell,162415,switch
2020-08-14,buy,161128,new
2020-08-21,sell,161128,switch
2020-08-21,buy,162415,new
2020-08-31,sell,162415,switch
2020-08-31,buy,515450,new
2020-09-07,sell,515450,switch
2020-09-07,buy,161128,new
2020-09-18,sell,161128,switch
2020-09-18,buy,513100,new
2020-10-14,sell,513100,switch
2020-10-14,buy,162415,new
2020-11-03,sell,162415,switch
2020-11-03,buy,515450,new
2020-11-17,sell,515450,switch
2020-11-17,buy,162411,new
2020-11-26,sell,162411,switch
2020-11-26,buy,515450,new
2020-12-03,sell,515450,switch
2020-12-03,buy,161128,new
2020-12-11,sell,161128,switch
2020-12-11,buy,162415,new
2020-12-18,sell,162415,switch
2020-12-18,buy,161128,new
2020-12-29,sell,161128,switch
2020-12-29,buy,162411,new
2021-01-06,sell,162411,switch
2021-01-06,buy,588000,new
2021-01-13,sell,588000,switch
2021-01-13,buy,162415,new
2021-01-20,sell,162415,switch
2021-01-20,buy,515450,new
2021-01-27,sell,515450,switch
2021-01-27,buy,162415,new
2021-02-03,sell,162415,switch
2021-02-03,buy,162411,new
2021-02-10,sell,162411,switch
2021-02-10,buy,513100,new
2021-02-24,sell,513100,switch
2021-02-24,buy,515450,new
2021-03-22,sell,515450,switch
2021-03-22,buy,162411,new
2021-03-29,sell,162411,switch
2021-03-29,buy,515450,new
2021-04-06,sell,515450,switch
2021-04-06,buy,162415,new
2021-04-13,sell,162415,switch
2021-04-13,buy,161128,new
2021-04-28,sell,161128,switch
2021-04-28,buy,162415,new
2021-05-11,sell,162415,switch
2021-05-11,buy,162411,new
2021-05-18,sell,162411,switch
2021-05-18,buy,588000,new
2021-05-27,sell,588000,switch
2021-05-27,buy,515450,new
2021-06-03,sell,515450,switch
2021-06-03,buy,588000,new
2021-06-10,sell,588000,switch
2021-06-10,buy,513100,new
2021-06-21,sell,513100,switch
2021-06-21,buy,162411,new
2021-06-28,sell,162411,switch
2021-06-28,buy,513100,new
2021-07-07,sell,513100,switch
2021-07-07,buy,588000,new
2021-07-14,sell,588000,switch
2021-07-14,buy,162415,new
2021-07-21,sell,162415,switch
