param,value,default,annual_return,sharpe,max_drawdown,total_return,n_buy,n_switch,benchmark_annual
ma_n,150.0,False,11.43,0.5,21.65,98.16,16,4,1.46
ma_n,180.0,False,18.36,0.7,23.84,190.31,12,5,1.46
ma_n,200.0,True,20.2,0.74,27.12,219.97,10,5,1.46
ma_n,220.0,False,15.97,0.64,23.22,155.06,10,5,1.46
ma_n,250.0,False,15.38,0.63,25.61,147.06,7,7,1.46
lookback,120.0,False,15.14,0.59,30.01,143.76,11,12,1.46
lookback,150.0,False,20.63,0.76,35.61,227.36,11,7,1.46
lookback,180.0,True,20.2,0.74,27.12,219.97,10,5,1.46
lookback,210.0,False,14.06,0.59,19.12,129.7,11,6,1.46
lookback,240.0,False,8.04,0.36,20.65,63.06,12,8,1.46
rebal,20.0,False,13.88,0.54,32.35,127.36,13,12,1.46
rebal,30.0,False,15.62,0.6,25.38,150.28,12,9,1.46
rebal,40.0,True,20.2,0.74,27.12,219.97,10,5,1.46
rebal,60.0,False,11.87,0.52,22.2,103.22,8,5,1.46
rebal,80.0,False,8.5,0.39,19.16,67.45,11,2,1.46
trail,0.15,False,11.81,0.52,25.82,102.48,17,4,1.46
trail,0.2,True,20.2,0.74,27.12,219.97,10,5,1.46
trail,0.25,False,19.59,0.72,28.08,209.91,8,5,1.46
trail,0.3,False,15.62,0.61,25.05,150.35,8,5,1.46
trail,0.35,False,13.7,0.55,25.77,125.15,8,5,1.46
base_w,0.35,False,21.5,0.74,32.06,242.49,10,5,1.46
base_w,0.4,False,20.86,0.74,29.67,231.23,10,5,1.46
base_w,0.45,True,20.2,0.74,27.12,219.97,10,5,1.46
base_w,0.5,False,19.52,0.74,24.37,208.71,10,5,1.46
base_w,0.55,False,18.82,0.74,21.74,197.45,10,5,1.46
base_w,0.6,False,18.1,0.74,19.29,186.18,10,5,1.46
