code,name,industry,quality_score,pe_percentile,pb_percentile,pe,pb,cash_gap,profit_gap,cfo_net_rate,ar_op_ratio,report_date
002926,华西证券,J67资本市场服务,0.464859437751004,20.0,18.5,14.07,0.87,,0.24115321312612448,701.303843288997,,20260331
000792,盐湖股份,C26化学原料和化学制品制造业,0.4438648622918985,39.7,44.5,14.16,3.27,-1.2491414435165522,0.8195148829922156,0.19675712149548133,0.1166498404109868,20260331
300059,东方财富,J67资本市场服务,0.3976412653128402,11.6,21.1,24.2,3.32,-1.1097420774191415,0.08485519606625247,25.893400349762516,0.5199315586327531,20260331
600233,圆通速递,G60邮政业,0.3426037350691258,30.9,36.3,13.15,1.76,-0.5550840122491063,0.5655522503226891,-0.01651986686450665,1.4871818555626868,20260331
601021,春秋航空,G56航空运输业,0.3397496181561641,46.5,1.8,17.07,2.4,-0.42477271059865274,0.3055519055768161,-0.0421895500146158,0.7379081042669713,20260331
002120,韵达股份,G60邮政业,0.3357083918438549,39.1,3.3,14.85,0.93,-0.49530073456506685,0.32505388867319973,-0.054428460292921824,0.8530236256610377,20260331
600150,中国船舶,C37铁路、船舶、航空航天和其他运输设备制造业,0.325767831496959,1.5,6.8,22.95,1.74,-2.4126014530497093,1.4887940737935974,0.03877547077457413,4.480995078886613,20260331
600598,北大荒,A01农业,0.32408916963100526,2.2,2.3,18.06,2.54,-0.1990169562919194,-0.02460612774317883,0.7638928934726423,,20260331
600346,恒力石化,C26化学原料和化学制品制造业,0.3169903480842038,49.1,22.5,13.26,1.68,-1.0247260583979783,1.1719073847262447,-0.17310923398492958,1.0460247367637507,20260331
300558,贝达药业,C27医药制造业,0.3099351909289997,36.9,27.9,55.81,3.62,-1.2391166560507538,1.165429987113317,-0.09720164396940001,2.03306179933832,20260331
600519,贵州茅台,C15酒、饮料和精制茶制造业,0.30762509257526777,12.8,4.4,20.08,6.13,-0.3140311436957245,-0.05186883082592919,0.22421286952794844,0.004908271160418196,20260331
601888,中国中免,L72商务服务业,0.3055511614584784,23.1,2.9,28.85,2.04,-0.11494011145501748,0.09937787801747566,-0.024324640066527955,0.07894591582189127,20260331
000895,双汇发展,C13农副食品加工业,0.2944398445857611,36.0,23.3,16.81,3.9,-0.0899761909315504,0.1057501270257577,-0.02850845785960879,0.5079570787086468,20260331
000568,泸州老窖,C15酒、饮料和精制茶制造业,0.2791932705077776,17.4,3.5,13.21,2.55,-0.14779434859990226,-0.05011049472647422,0.15707829960023675,0.04127330463021197,20260331
300999,金龙鱼,C13农副食品加工业,0.2754457588101867,3.7,3.9,39.19,1.46,-0.25767723309857615,0.2674096620506663,-0.06438812311295446,1.8552829126885892,20260331
603345,安井食品,C13农副食品加工业,0.2707797906391324,37.8,16.5,18.72,1.78,-0.2752997231877037,0.185935744474218,0.021962948512456674,3.0920317853549477,20260331
600685,中船防务,C37铁路、船舶、航空航天和其他运输设备制造业,0.2704007358683369,2.3,36.9,30.61,2.05,-1.0148821481796912,0.5729317976135366,0.02556560102905861,6.8638448495952655,20260331
605499,东鹏饮料,C15酒、饮料和精制茶制造业,0.2602625820400325,0.7,2.7,18.92,4.77,-0.041763847824628275,0.0510871178596537,-0.03372442986818949,0.06937788404293711,20260630
600887,伊利股份,C14食品制造业,0.25560301487939935,9.3,8.0,13.8,2.8,-0.11815625133142327,0.06502385559643331,-0.037504939966220244,1.2786338261449453,20260331
300957,贝泰妮,C26化学原料和化学制品制造业,0.2548797680283798,15.7,2.9,26.34,2.29,-1.3588914356696091,1.0186948281761496,-0.25298136001784655,2.4320286890958625,20260331
300144,宋城演艺,R88文化艺术业,0.2514591417445433,30.3,2.6,20.83,2.08,-0.06003595422163699,-0.03515040944889192,0.10575431838325344,0.05743890254064999,20260331
